run_id,budget,performance,hp_config.buffer_alpha,hp_config.buffer_batch_size,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.learning_rate,hp_config.learning_starts,hp_config.tau,seed
0,50000,0.1702387512011898,0.5533253688880515,1024,0.6067357423109274,5.301709347576832e-07,True,77870,0.0001541473476191,1827,0.964026132896019,9
1,50000,0.0152364554472566,0.3896071036375199,1024,0.5336059705553754,6.92185991020862e-07,False,9475,2.7267573880087303e-06,41,0.8342936470924586,9
2,50000,0.0014976910255411,0.780375183440352,1024,0.9788321588104364,9.903593841281131e-06,True,93889,3.902762553553295e-06,1311,0.1519197545349559,9
3,50000,0.0804907655111527,0.945222227879088,512,0.4205153205906183,2.1027036109989318e-08,False,55295,0.0006952960214898,38,0.6214591421051183,9
4,50000,0.2624816872971082,0.6159747654951973,512,0.944310597729478,2.565083431770992e-06,True,53020,0.0030772018129755,123,0.670099048291211,9
5,50000,5.445146257727532e-05,0.6739314909219778,256,0.1376370346783048,3.7769545138789065e-08,True,68864,0.0001559579677297,2025,0.1110243626405477,9
6,50000,0.0030567244982714,0.2167879885338863,256,0.6565772422107444,1.8469622232007563e-08,True,30105,6.235164534943645e-06,226,0.6597662935706207,9
7,50000,0.0020068561033439,0.1468011218351276,256,0.3750379189543544,1.2734038226347208e-05,True,100720,3.023375152147209e-06,2000,0.4739646896312245,9
8,50000,0.0153322757873523,0.9769934773084338,512,0.7418709436043187,1.5701421102720566e-09,True,15324,3.0248301110217265e-05,243,0.3248033476000362,9
9,50000,0.0031048838055036,0.4201203645695233,256,0.6955473981763196,6.807807563467868e-07,True,63278,2.949188649641699e-06,1180,0.930003235600452,9
10,50000,0.0279042941619544,0.3253832629268104,1024,0.1404798837803482,3.816242999089971e-06,True,22819,0.0008561792022971,41,0.8306506289251895,9
11,50000,0.0634726059550677,0.0146485214306215,1024,0.2773078934602432,4.7420934769502654e-06,False,30619,0.0007599528920757,1213,0.5765293867329646,9
12,50000,0.0004484592976256,0.2308508163142121,1024,0.452654124831451,1.7062527421800136e-05,False,36412,0.0117216594193486,812,0.8822921651400499,9
13,50000,0.1584115697386345,0.5854601439095001,1024,0.6956062741769882,4.229328306806071e-06,False,114775,0.0016593996576192,868,0.6103292819866452,9
14,50000,0.0036954904493798,0.0290012663262401,256,0.6635718021177582,2.820902242356036e-08,False,52037,4.757407151830428e-06,611,0.5742652615942522,9
15,50000,0.1607513612252042,0.5949640336356915,512,0.6566688116585623,1.8218656600978457e-06,True,107692,6.883500530797727e-05,893,0.8930041214655153,9
16,50000,0.0022950738921432,0.8081320491556249,1024,0.109224618439178,3.957428423834936e-05,False,119863,5.587808619859325e-06,1778,0.170868005329611,9
17,50000,6.096325859524769e-05,0.6194039686410058,256,0.849528147029012,1.0879145712532274e-05,False,49469,2.217353712157961e-06,1429,0.4590072558512881,9
18,50000,0.5911277432350492,0.7248350434756444,1024,0.975766289952857,1.901151436186139e-05,True,43853,0.0044663506078014,351,0.525826240142088,9
19,50000,,0.063794608455861,256,0.0283365765160078,9.300119239139805e-06,True,42112,0.0436924569830942,1443,0.0415205402359947,9
20,50000,0.0320300569160229,0.1730472149329336,512,0.5814563027181259,1.5469066515012495e-08,False,74071,0.0004766109491313,1208,0.732820809221602,9
21,50000,0.0004325090733373,0.3188255455248058,512,0.2177453114853709,8.53031422791811e-09,False,89013,0.0002833309665,465,0.261812916952689,9
22,50000,0.0006662362827182,0.0674488687206368,512,0.3186779231741615,3.031917949088193e-06,True,22392,1.3285981456618354e-06,137,0.6825988457635817,9
23,50000,0.0171020494133549,0.4591598761104848,512,0.8977045801099387,8.947356400945199e-05,True,79915,2.0730600560653647e-05,42,0.76079486729778,9
24,50000,0.0020548173841745,0.3268169793142432,512,0.5924339424180697,1.4296913058545256e-05,False,104849,2.3319013512257087e-05,1635,0.1937795848628926,9
25,50000,9.555430295123382e-05,0.9532637404022252,1024,0.2233526003424228,5.455731044851543e-05,False,31237,1.1656277734601247e-05,1061,0.0354060908739862,9
26,50000,0.0409688346537794,0.2153953746866983,512,0.3804282805308833,2.0791083462491586e-07,True,70837,0.0208582577399291,240,0.522205316082573,9
27,50000,0.0002786883659895,0.1407474252817017,1024,0.4020991057792208,6.715936161562289e-07,True,18257,0.0002756013897668,728,0.9410276258002848,9
28,50000,,0.7676720012688956,1024,0.904682542348474,2.6128361564801448e-09,False,70563,0.0645181480456923,598,0.2484204921162923,9
29,50000,0.0002610800520126,0.1092910028428428,256,0.9302340236242688,2.236571224217705e-06,False,34543,0.0008551667979262,131,0.4907713199752767,9
30,50000,,0.9777201883470024,1024,0.3447773623184771,6.424669222650196e-05,True,113971,0.0509200150722881,1637,0.6341434574981232,9
31,50000,0.0025383924373835,0.8755450869586976,256,0.850454119759789,1.2285234751732838e-06,True,42336,5.504327991930864e-06,2011,0.4835866039695882,9
32,50000,0.0023899038440989,0.502417451843676,512,0.3748987600683213,4.8361677700268425e-09,False,23611,0.0003602424708544,459,0.1068660396490937,9
33,50000,0.0011730537746045,0.8635696022474665,1024,0.96122631148237,3.410181516132525e-05,False,40660,2.5439405030468934e-06,834,0.2399118007492333,9
34,50000,0.0031118092587834,0.1411627584104031,256,0.728338420568473,1.1406103106870351e-09,False,18507,2.498103414187531e-06,183,0.6753273292803753,9
35,50000,0.0044382972616954,0.2529135377543163,512,0.5617951034106777,2.0079637544771044e-05,False,33186,4.543745482899977e-06,113,0.308582648136133,9
36,50000,6.494125449568103e-06,0.2694969677472815,512,0.6864485221922036,3.006957072940732e-06,True,46226,8.049238739078237e-06,1615,0.0662795956689079,9
37,50000,0.0054786051118191,0.7000272693077375,1024,0.7796334862302656,1.9820418569872414e-08,True,70934,2.3126478762124995e-05,759,0.2050837373837832,9
38,50000,0.0186362996773522,0.4652573249184473,256,0.8017979257249118,2.4253936429512143e-09,False,37527,0.0007721732351505,1965,0.6491145420114438,9
39,50000,0.0024058827087175,0.045008811397936,512,0.5149166837950677,4.796091649375608e-07,False,34051,4.4086216323812285e-06,804,0.9568416655679892,9
