run_id,budget,performance,hp_config.buffer_batch_size,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.learning_rate,hp_config.learning_starts,hp_config.reward_scale,hp_config.use_target_network,hp_config.buffer_alpha,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.tau,seed
0,20000,1317.5253011373084,512,False,72738,0.0005301709347576,3471,1.9578897201213008,True,,,,0.7938077877018379,9
1,20000,1283.4121887088577,512,False,111148,2.265584636656665e-06,713,0.1097581541938015,False,,,,,9
2,20000,1720.465862080635,512,False,15095,0.0015834527427829,1174,7.750644796341918,False,,,,,9
3,20000,1431.3867010908205,512,True,74508,0.0011494196400307,5054,7.717846862118066,False,0.3659128215680481,0.442661634261348,3.0772018129755767e-06,,9
4,20000,1255.5717358596494,1024,False,26054,4.411959206764395e-06,2584,0.5338528208876637,False,,,,,9
5,20000,1292.3631062321,256,False,31159,0.0002145625214968,2002,0.2079405399213931,True,,,,0.3750379189543544,9
6,20000,1280.3766823120718,1024,True,100720,3.023375152147209e-06,8000,0.8655704137361817,False,0.6087970645475955,0.7418709436043187,1.5701421102720564e-09,,9
7,20000,1189.1463557689394,256,True,15149,3.889698119911192e-05,3394,0.1343677338411073,False,0.5709354396645094,0.272735596030051,4.132760779522894e-07,,9
8,20000,852.4953060819073,512,False,38926,0.0021729608403132,1079,2.708035842715768,True,,,,0.8306506289251895,9
9,20000,1339.3093460304906,256,False,33148,0.0047420934769502,7883,0.3144171936359528,False,,,,,9
10,20000,1263.1028531062852,512,False,84245,3.070327866275443e-05,6667,0.6208854487201753,False,,,,,9
11,20000,1132.3391930864825,512,False,77644,0.000131605864636,4968,0.1092411835137167,True,,,,0.4344810139363085,9
12,20000,1267.3983089076803,256,True,68836,0.0009002514016924,4705,2.024890951657205,False,0.4371042510796342,0.8975811298925523,6.88350053079773e-08,,9
13,20000,1339.0544886730652,1024,False,84770,3.170548759667372e-06,7533,2.682147139713121,False,,,,,9
14,20000,1056.5013695159278,256,False,97076,0.0007006541409329,3336,0.1375099078102485,False,,,,,9
15,20000,167.48627897557404,1024,True,43853,0.0044663506078014,1406,1.1017250202676103,True,0.207996559647436,0.0283365765160078,9.300119239139805e-06,0.2316854411797763,9
16,20000,1214.2383653956529,512,False,84833,1.4427618420965211e-06,1349,1.7496726491829144,False,,,,,9
17,20000,1276.7628044142448,512,False,38138,9.797275285054146e-05,1719,0.2357143440932748,False,,,,,9
18,20000,359.7712827921059,256,True,38120,0.0030319179490881,3094,0.2286690329494201,True,0.0765771351486161,0.6825988457635817,1.8555993972685426e-07,0.541213418997635,9
19,20000,1329.920388191216,1024,False,26829,0.0020672405509021,2157,0.1099770329950567,False,,,,,9
20,20000,1216.1166298139358,512,False,33569,0.0097776428479831,1520,8.046060873238968,False,,,,,9
21,20000,1220.6072511920106,256,False,4077,1.0898089675699015e-05,3479,0.5601959447767408,True,,,,0.1263565374024127,9
22,20000,1230.5445051117615,512,True,86313,9.556492296146e-05,4632,0.2325732021462239,True,0.493175717842465,0.362056610471456,5.036858219677776e-05,0.7676720012688956,9
23,20000,1219.4473119026748,1024,False,10949,0.0005767164638164,4788,8.392140711648056,True,,,,0.9302340236242688,9
24,20000,1533.543553819286,1024,False,34543,0.0008551667979262,523,0.9359554809691524,False,,,,,9
25,20000,796.3539244775682,1024,False,96110,0.0014198409065696,7163,0.3855143682728619,False,,,,,9
26,20000,1157.8398261686857,1024,True,60202,0.0015752974935162,3019,0.1878453908916085,False,0.1979494327837304,0.5162057927209914,1.3230770762334396e-08,,9
27,20000,1753.665480437153,1024,False,115341,0.0341018151613252,6341,0.4637568142975966,True,,,,0.062892909968957,9
28,20000,1176.0167560039718,1024,True,92705,5.429167329237188e-06,651,0.1510796842421526,False,0.2529135377543163,0.4263340720132975,6.121304118151216e-07,,9
29,20000,1213.8072376495152,1024,True,16667,1.891784235480048e-06,2470,0.3343769241406479,True,0.6864485221922036,0.6986691911824686,2.6157379475456983e-08,0.3861276863411192,9
30,20000,1413.3609724469015,256,False,7787,0.0030548241032472,6379,3.587691764561748,True,,,,0.3771442712257098,9
31,20000,170.6905734416965,256,True,6331,0.0099765279328311,630,1.0906120646523016,True,0.5817675193430617,0.9598390074250908,1.6898619307938938e-06,0.045008811397936,9
32,20000,1085.565110286183,512,False,64816,0.0025524812058383,2274,0.1810177368702712,True,,,,0.5483678905765531,9
33,20000,1288.780821508989,512,False,55587,0.0041767471318871,3269,6.4281911980975295,False,,,,,9
34,20000,1753.665480437153,256,True,95776,0.0624932362103116,3753,1.5204366533520597,False,0.4626512188203185,0.9523557320644088,7.564074719136714e-07,,9
35,20000,1337.782900005212,1024,False,19990,0.0013947365926504,3264,0.1334829831829453,True,,,,0.9593928946448388,9
36,20000,1409.9430928503143,512,True,2966,8.436486699792773e-06,3287,7.220758740267613,True,0.9458485181442888,0.8707936452411659,1.865571869625813e-07,0.3334338729505774,9
37,20000,1209.7179142908312,256,False,4959,1.1968240900788571e-06,3513,0.1368195469298534,True,,,,0.0219158606686777,9
38,20000,1753.665480437153,256,False,116938,0.0894798006363062,3351,0.2117916589137708,False,,,,,9
39,20000,1240.0377804971488,256,True,79846,1.699479479215557e-05,5455,1.0829715167866316,True,0.5591409305748047,0.2941810047204334,3.410935690756263e-06,0.4207083006402284,9
40,20000,1316.5740348183167,512,False,111073,1.6983865991372076e-06,1905,0.4977814850123898,False,,,,,9
41,20000,1753.665480437153,1024,True,13624,0.0568542657645315,1912,2.396274300985761,True,0.7334020081362014,0.8829030102105013,2.30241961943837e-08,0.3852663271166542,9
42,20000,1251.0298998428812,512,False,29317,7.232117862092298e-06,3681,0.4063842002688846,False,,,,,9
43,20000,509.693893762451,1024,False,90347,0.0031468446315839,7930,9.745442856530772,True,,,,0.4233115110480517,9
44,20000,1289.5499723468438,256,False,46569,0.0299867515527872,7929,1.2409943474049774,True,,,,0.5565574939250512,9
45,20000,1196.7408092853216,256,True,48818,1.746092815608174e-05,4144,0.4176011173004208,True,0.5297207378317216,0.7530890726996976,4.650903504053221e-08,0.924917178954556,9
46,20000,1293.3645485717689,1024,True,31201,0.0001700895230335,857,0.4976820509490308,False,0.6837093363313976,0.6261605842803448,3.5697846159490232e-06,,9
47,20000,1221.6810112473208,512,False,105632,0.0005228658397811,2316,0.114939820882621,False,,,,,9
48,20000,1261.8332544442883,256,True,3916,5.1648168040002205e-05,5097,0.3615229702360383,True,0.1245462009938227,0.5813688415801384,2.994677292541143e-06,0.6752375691898641,9
49,20000,1214.5353230932328,1024,True,78025,0.0010045260080439,4823,8.424432204885404,True,0.6995176063944356,0.8155418632048448,3.540266724536649e-07,0.3406252209008411,9
50,20000,1217.7956177089186,1024,True,53616,0.0003978889450334,5685,0.151974759247575,True,0.4161985470632244,0.6270617262899293,2.721472223531905e-05,0.6226379065589627,9
51,20000,1172.5501195398754,256,False,104746,0.0003262900314131,7556,1.2099337398841064,False,,,,,9
52,20000,1286.0662530918316,256,True,114307,3.163330708761546e-05,1314,5.92392200847266,True,0.9087968384107828,0.1686281616569418,2.0210988620090983e-06,0.4458611153011969,9
53,20000,1168.0933588106045,256,False,30458,1.5778932302781154e-06,491,0.1324820605112302,False,,,,,9
54,20000,1229.3021368479422,256,False,44116,0.0002255509943646,3098,9.100261217713628,True,,,,0.6111768802714256,9
55,20000,957.0005709587527,512,True,29389,0.0003737349530049,3014,0.8185397651120966,True,0.9707887566600178,0.1421050374281479,3.048033710556453e-09,0.3499578115030069,9
56,20000,1753.665480437153,512,False,48288,0.0991722050328462,2883,2.772128360266849,False,,,,,9
57,20000,1244.034019174458,1024,True,18595,2.0567429403911963e-06,1981,0.7320874507615125,False,0.7753527185143229,0.9591535138260272,3.860134186385563e-09,,9
58,20000,1753.665480437153,512,False,101934,0.0477705675530052,8057,0.6303813913611407,True,,,,0.8634419698926952,9
59,20000,1188.8722654314206,256,True,70159,1.613560300872147e-05,1384,5.237953912333401,True,0.4759146948788921,0.1246756612878764,1.9288293535634178e-07,0.9801627030788862,9
60,20000,1208.9485472609726,512,False,14981,2.271226170750163e-05,3308,0.6304117221520666,False,,,,,9
61,20000,1262.3007568730548,512,False,9357,0.0129429624671133,5353,2.8358609267931034,False,,,,,9
62,20000,1409.0470516081275,256,False,14085,0.0010753272841016,5761,1.8602557082937423,False,,,,,9
