Configuration,Score,Seed,Environment
0,-128.22073,0,box2d_lunar_lander_continuous
0,3.9324517,1,box2d_lunar_lander_continuous
0,-68.35857,2,box2d_lunar_lander_continuous
0,-98.1397,3,box2d_lunar_lander_continuous
0,53.33307,4,box2d_lunar_lander_continuous
0,108.83443,5,box2d_lunar_lander_continuous
0,-73.96862,6,box2d_lunar_lander_continuous
0,-58.65014,7,box2d_lunar_lander_continuous
0,21.691786,8,box2d_lunar_lander_continuous
0,-28.658512,9,box2d_lunar_lander_continuous
1,-99.88328,0,box2d_lunar_lander_continuous
1,-28.018328,1,box2d_lunar_lander_continuous
1,-121.08778,2,box2d_lunar_lander_continuous
1,-130.63403,3,box2d_lunar_lander_continuous
1,-121.97052,4,box2d_lunar_lander_continuous
1,-0.8099253,5,box2d_lunar_lander_continuous
1,-58.72558,6,box2d_lunar_lander_continuous
1,-137.97333,7,box2d_lunar_lander_continuous
1,-93.95926,8,box2d_lunar_lander_continuous
1,-151.63165,9,box2d_lunar_lander_continuous
2,-148.47067,0,box2d_lunar_lander_continuous
2,-40.48928,1,box2d_lunar_lander_continuous
2,-57.409065,2,box2d_lunar_lander_continuous
2,-132.80527,3,box2d_lunar_lander_continuous
2,-151.4768,4,box2d_lunar_lander_continuous
2,-115.846054,5,box2d_lunar_lander_continuous
2,-102.13061,6,box2d_lunar_lander_continuous
2,-154.38513,7,box2d_lunar_lander_continuous
2,-189.31456,8,box2d_lunar_lander_continuous
2,-36.549194,9,box2d_lunar_lander_continuous
3,-113.9022,0,box2d_lunar_lander_continuous
3,-100.98063,1,box2d_lunar_lander_continuous
3,-95.627655,2,box2d_lunar_lander_continuous
3,-98.16885,3,box2d_lunar_lander_continuous
3,-108.14214,4,box2d_lunar_lander_continuous
3,-98.95831,5,box2d_lunar_lander_continuous
3,-98.813416,6,box2d_lunar_lander_continuous
3,-112.28067,7,box2d_lunar_lander_continuous
3,-104.32697,8,box2d_lunar_lander_continuous
3,-109.8131,9,box2d_lunar_lander_continuous
4,162.76553,0,box2d_lunar_lander_continuous
4,116.92459,1,box2d_lunar_lander_continuous
4,153.925,2,box2d_lunar_lander_continuous
4,130.60162,3,box2d_lunar_lander_continuous
4,146.34317,4,box2d_lunar_lander_continuous
4,230.16241,5,box2d_lunar_lander_continuous
4,196.26007,6,box2d_lunar_lander_continuous
4,167.62325,7,box2d_lunar_lander_continuous
4,219.52652,8,box2d_lunar_lander_continuous
4,194.25795,9,box2d_lunar_lander_continuous
5,18.07476,0,box2d_lunar_lander_continuous
5,-12.438286,1,box2d_lunar_lander_continuous
5,51.00132,2,box2d_lunar_lander_continuous
5,74.36646,3,box2d_lunar_lander_continuous
5,14.022846,4,box2d_lunar_lander_continuous
5,60.38413,5,box2d_lunar_lander_continuous
5,91.22491,6,box2d_lunar_lander_continuous
5,-20.427385,7,box2d_lunar_lander_continuous
5,4.4749556,8,box2d_lunar_lander_continuous
5,54.327286,9,box2d_lunar_lander_continuous
6,-50.50422,0,box2d_lunar_lander_continuous
6,-57.9953,1,box2d_lunar_lander_continuous
6,-53.960854,2,box2d_lunar_lander_continuous
6,-54.183064,3,box2d_lunar_lander_continuous
6,-65.03486,4,box2d_lunar_lander_continuous
