run_id,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef
0,None,2866.80712890625,0.2744067519636624,0.35759468318620974,0.9204923988767216,0.0005301709347576831,0.4236547993389047,64,True,0.4458865003910399,0.9636627605010293
1,None,2310.42822265625,0.19172075941288885,0.3958625190413323,0.9057260944586056,0.0006921859910208612,0.925596638292661,32,True,0.01010919872016286,0.832619845547938
2,None,1895.2467041015625,0.38907837547492524,0.4350060741234096,0.9956258066123296,0.00990359384128113,0.46147936225293185,128,True,0.3199605106637619,0.1433532874090464
3,None,-449.1202392578125,0.47233445852479194,0.26092416087503584,0.8828909218041057,2.1027036109989307e-05,0.7742336894342167,64,False,0.009394900218177571,0.6176354970758771
4,None,688.3268432617188,0.3060478613612107,0.30846699843737846,0.9886552408950734,0.002565083431770991,0.359507900573786,64,False,0.030112735814634917,0.6667667154456677
5,None,1769.138671875,0.3353189348090797,0.10519128053692045,0.8257723669012053,3.7769545138788986e-05,0.3637107709426226,64,True,0.4941869190296131,0.10204481074802807
6,None,-517.9417724609375,0.10443837804741735,0.08065475894249813,0.9305563542605332,1.846962223200756e-05,0.4663107728563063,32,True,0.05518757058215257,0.6563295894652734
7,None,351.94677734375,0.0690914756743069,0.09829118084002675,0.8737081616151268,0.012734038226347204,0.09710127579306127,128,True,0.4882297325066979,0.4686512016477016
8,None,-553.9701538085938,0.48838054409516857,0.302422759872523,0.9477787895217205,1.5701421102720535e-06,0.2828069625764096,32,True,0.05936385947712203,0.317983179393976
9,None,129921.65625,0.20713149725733498,0.03207374817439218,0.938425176662067,0.0006807807563467866,0.2653894909394454,64,True,0.28797324777808964,0.9292961975762141
10,None,194236.375,0.15928447622566183,0.33370518998184084,0.826346392694638,0.00381624299908997,0.2894060929472011,32,False,0.010053773093746776,0.8289400292173631
11,None,662639.75,0.002347738096273533,0.33890826839811505,0.8539745938411137,0.004742093476950264,0.9621885451174382,32,False,0.2960209656359195,0.5722519057908734
12,None,192191376.0,0.11154081632030916,0.4763745057584925,0.8893803631856637,0.017062527421800134,0.6994792753175043,32,False,0.19825287042349232,0.8811031971111616
13,None,126924.59375,0.29063643631792935,0.4408676809274264,0.9384370648565454,0.004229328306806069,0.5013243819267023,128,False,0.21192752427908984,0.6063932141279244
14,None,-909.76611328125,0.009596599154666763,0.15078740833727466,0.9319686901447878,2.820902242356035e-05,0.6180154289988415,64,True,0.14914116297801538,0.5699649107012649
15,None,586.8301391601562,0.2954363806240866,0.2871626244247894,0.930574843889441,0.0018218656600978453,0.43141843543397396,128,True,0.2179324626328134,0.8919233550156721
16,None,1584.904541015625,0.4030969945230429,0.35194429177018316,0.820035354773729,0.03957428423834935,0.7142412995491114,128,True,0.4340630286841071,0.16249293467637482
17,None,5256305.0,0.3077797821419221,0.061909991424720756,0.9695168450415147,0.01087914571253227,0.5691007386145933,64,True,0.3487143865722818,0.45354268267806885
18,None,3999142.5,0.36102779973517396,0.4331911629643146,0.9950067488500769,0.01901151436186139,0.011714084185001972,64,False,0.08581483863072026,0.5210366062041293
19,None,360177.0625,0.027168994169626814,0.09999826244820004,0.8037025067126767,0.0093001192391398,0.22392468806038013,64,False,0.3522072009617664,0.03183892953130785
