config_id,budget,performance,hp_config.buffer_alpha,hp_config.buffer_batch_size,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.buffer_prio_sampling,hp_config.learning_rate,hp_config.learning_starts,hp_config.reward_scale,hp_config.tau,optimisation_seed,seed
0,5000.0,-1.046082184266305e-05,0.060449592906,1024,0.6866769502151,1.45063e-08,False,1.5592319e-05,93,6.1052407843013,1.0,0,0
0,5000.0,-0.0217653238512334,0.060449592906,1024,0.6866769502151,1.45063e-08,False,1.5592319e-05,93,6.1052407843013,1.0,0,1
0,5000.0,-0.0122688513389149,0.060449592906,1024,0.6866769502151,1.45063e-08,False,1.5592319e-05,93,6.1052407843013,1.0,0,2
1,5000.0,-1.4513479414440883e-05,1.0,512,0.4008041898222,9.4306685e-06,True,0.000484007216,8168,0.9349933959127,0.1621626688296,0,0
1,5000.0,-1.7881688531924926e-05,1.0,512,0.4008041898222,9.4306685e-06,True,0.000484007216,8168,0.9349933959127,0.1621626688296,0,1
1,5000.0,-1.433652432875177e-06,1.0,512,0.4008041898222,9.4306685e-06,True,0.000484007216,8168,0.9349933959127,0.1621626688296,0,2
2,5000.0,-0.857245187853061,0.7594290119837,1024,0.0644816318766,8.422756e-07,False,7.32060635e-05,7517,0.4838282479703,0.6691089537646,0,0
2,5000.0,-0.810522040266707,0.7594290119837,1024,0.0644816318766,8.422756e-07,False,7.32060635e-05,7517,0.4838282479703,0.6691089537646,0,1
2,5000.0,-0.5555050545025851,0.7594290119837,1024,0.0644816318766,8.422756e-07,False,7.32060635e-05,7517,0.4838282479703,0.6691089537646,0,2
3,5000.0,-1.4513479414440883e-05,0.1194248135933,512,0.3147909638902,8.0535e-09,True,0.0047500971626,6032,5.7816946074391,0.2630173482034,0,0
3,5000.0,-1.7881688531924926e-05,0.1194248135933,512,0.3147909638902,8.0535e-09,True,0.0047500971626,6032,5.7816946074391,0.2630173482034,0,1
3,5000.0,-1.433652432875177e-06,0.1194248135933,512,0.3147909638902,8.0535e-09,True,0.0047500971626,6032,5.7816946074391,0.2630173482034,0,2
4,5000.0,-1.4513479414440883e-05,0.4887159102508,256,0.3112644762943,9.136663e-07,False,4.3394704e-06,4937,0.8514731004114,0.131555040699,0,0
4,5000.0,-1.7881688531924926e-05,0.4887159102508,256,0.3112644762943,9.136663e-07,False,4.3394704e-06,4937,0.8514731004114,0.131555040699,0,1
4,5000.0,-1.433652432875177e-06,0.4887159102508,256,0.3112644762943,9.136663e-07,False,4.3394704e-06,4937,0.8514731004114,0.131555040699,0,2
5,5000.0,-1.4513479414440883e-05,0.9582134193424,512,0.6580600119458,4.86408e-07,False,0.00686126828,8192,0.8169820444626,0.8016758696572,0,0
5,5000.0,-1.7881688531924926e-05,0.9582134193424,512,0.6580600119458,4.86408e-07,False,0.00686126828,8192,0.8169820444626,0.8016758696572,0,1
5,5000.0,-1.433652432875177e-06,0.9582134193424,512,0.6580600119458,4.86408e-07,False,0.00686126828,8192,0.8169820444626,0.8016758696572,0,2
6,5000.0,-1.4513479414440883e-05,0.768,256,0.7387603474862,1.071e-09,True,6.0150636e-06,4869,1.480218641718,0.6549946521908,0,0
6,5000.0,-1.7881688531924926e-05,0.768,256,0.7387603474862,1.071e-09,True,6.0150636e-06,4869,1.480218641718,0.6549946521908,0,1
6,5000.0,-1.433652432875177e-06,0.768,256,0.7387603474862,1.071e-09,True,6.0150636e-06,4869,1.480218641718,0.6549946521908,0,2
7,5000.0,-1.4513479414440883e-05,0.1771767087919,1024,0.2659774477731,1.2e-09,True,5.3990015e-06,2067,0.1,0.4703631562347,0,0
7,5000.0,-1.7881688531924926e-05,0.1771767087919,1024,0.2659774477731,1.2e-09,True,5.3990015e-06,2067,0.1,0.4703631562347,0,1
7,5000.0,-1.433652432875177e-06,0.1771767087919,1024,0.2659774477731,1.2e-09,True,5.3990015e-06,2067,0.1,0.4703631562347,0,2
8,5000.0,-1.4513479414440883e-05,0.7689180692902,256,0.558825498847,1.3164344e-06,True,1.9181477e-06,6553,0.1445785293566,0.7674485878036,0,0
8,5000.0,-1.7881688531924926e-05,0.7689180692902,256,0.558825498847,1.3164344e-06,True,1.9181477e-06,6553,0.1445785293566,0.7674485878036,0,1
8,5000.0,-1.433652432875177e-06,0.7689180692902,256,0.558825498847,1.3164344e-06,True,1.9181477e-06,6553,0.1445785293566,0.7674485878036,0,2
9,5000.0,-1.4513479414440883e-05,0.521888844477,1024,0.1442446578199,1.2358e-09,False,0.0009698053126,3862,7.3837850167128,0.152244641621,0,0
9,5000.0,-1.7881688531924926e-05,0.521888844477,1024,0.1442446578199,1.2358e-09,False,0.0009698053126,3862,7.3837850167128,0.152244641621,0,1
9,5000.0,-1.433652432875177e-06,0.521888844477,1024,0.1442446578199,1.2358e-09,False,0.0009698053126,3862,7.3837850167128,0.152244641621,0,2
10,5000.0,-1.4513479414440883e-05,0.64,1024,0.5698481212744,4.50427e-07,False,2.58971216e-05,5757,6.5700625384403,0.3766495109522,0,0
10,5000.0,-1.7881688531924926e-05,0.64,1024,0.5698481212744,4.50427e-07,False,2.58971216e-05,5757,6.5700625384403,0.3766495109522,0,1
10,5000.0,-1.433652432875177e-06,0.64,1024,0.5698481212744,4.50427e-07,False,2.58971216e-05,5757,6.5700625384403,0.3766495109522,0,2
11,5000.0,-0.0059105165861388,0.3474332555626,512,0.7402413421542,1.16060576e-05,True,0.0001137213996,2208,1.2398212249022,0.8410580413349,0,0
11,5000.0,-0.0732666604626591,0.3474332555626,512,0.7402413421542,1.16060576e-05,True,0.0001137213996,2208,1.2398212249022,0.8410580413349,0,1
11,5000.0,-0.106882696812529,0.3474332555626,512,0.7402413421542,1.16060576e-05,True,0.0001137213996,2208,1.2398212249022,0.8410580413349,0,2
12,5000.0,-1.4513479414440883e-05,0.4010465522335,1024,0.934911630087,4.39195854e-05,True,0.0003049359008,6553,7.4446641593242,0.6516158387469,0,0
12,5000.0,-1.7881688531924926e-05,0.4010465522335,1024,0.934911630087,4.39195854e-05,True,0.0003049359008,6553,7.4446641593242,0.6516158387469,0,1
12,5000.0,-1.433652432875177e-06,0.4010465522335,1024,0.934911630087,4.39195854e-05,True,0.0003049359008,6553,7.4446641593242,0.6516158387469,0,2
13,5000.0,-0.0049113954696339,0.97707691596,512,0.127104730289,9.9779e-09,False,2.6620502e-06,5181,0.12,0.229977479055,0,0
13,5000.0,-0.0037923491488475,0.97707691596,512,0.127104730289,9.9779e-09,False,2.6620502e-06,5181,0.12,0.229977479055,0,1
13,5000.0,-0.0006380777334259,0.97707691596,512,0.127104730289,9.9779e-09,False,2.6620502e-06,5181,0.12,0.229977479055,0,2
14,5000.0,-0.0003459327171963,0.5986182519829,1024,0.9628723114001,1.5250945e-05,False,2.55168513e-05,6177,0.5721672671882,0.5245453353665,0,0
14,5000.0,-0.000960099821786,0.5986182519829,1024,0.9628723114001,1.5250945e-05,False,2.55168513e-05,6177,0.5721672671882,0.5245453353665,0,1
14,5000.0,-0.0015654856683534,0.5986182519829,1024,0.9628723114001,1.5250945e-05,False,2.55168513e-05,6177,0.5721672671882,0.5245453353665,0,2
15,5000.0,-1.4513479414440883e-05,0.6746302693337,512,0.2323048146125,2.56893287e-05,True,0.0001308572159,1288,0.5023813311952,0.0113117094752,0,0
15,5000.0,-1.7881688531924926e-05,0.6746302693337,512,0.2323048146125,2.56893287e-05,True,0.0001308572159,1288,0.5023813311952,0.0113117094752,0,1
15,5000.0,-1.433652432875177e-06,0.6746302693337,512,0.2323048146125,2.56893287e-05,True,0.0001308572159,1288,0.5023813311952,0.0113117094752,0,2
16,5000.0,-0.0011565431660052,0.2818947721364,1024,0.7359320249664,1.64692e-08,False,0.0179708651496,4101,7.1328675197875,0.3932886727416,0,0
