config_id,budget,performance,hp_config.buffer_alpha,hp_config.buffer_batch_size,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.buffer_prio_sampling,hp_config.initial_epsilon,hp_config.learning_rate,hp_config.learning_starts,hp_config.target_epsilon,hp_config.target_update_interval,optimisation_seed,seed
0,1000000.0,150.15625,0.6076631840728,16,0.1342600600398,4.174148e-05,True,0.5881503041994,0.0054610605258,11041,0.0390685282729,1615,0,0
0,1000000.0,671.875,0.6076631840728,16,0.1342600600398,4.174148e-05,True,0.5881503041994,0.0054610605258,11041,0.0390685282729,1615,0,1
0,1000000.0,1850.1562,0.6076631840728,16,0.1342600600398,4.174148e-05,True,0.5881503041994,0.0054610605258,11041,0.0390685282729,1615,0,2
1,1000000.0,799.6875,0.3962351206415,16,0.2838682284875,7.9521739e-06,True,0.6,2.2857228e-06,4827,0.0674375801631,475,0,0
1,1000000.0,1280.1562,0.3962351206415,16,0.2838682284875,7.9521739e-06,True,0.6,2.2857228e-06,4827,0.0674375801631,475,0,1
1,1000000.0,696.5625,0.3962351206415,16,0.2838682284875,7.9521739e-06,True,0.6,2.2857228e-06,4827,0.0674375801631,475,0,2
2,1000000.0,1576.5625,0.9063401227179,64,0.1657866920734,5.63643592e-05,True,0.90014500931,2.4178166e-06,21478,0.16,843,0,0
2,1000000.0,808.90625,0.9063401227179,64,0.1657866920734,5.63643592e-05,True,0.90014500931,2.4178166e-06,21478,0.16,843,0,1
2,1000000.0,3071.0938,0.9063401227179,64,0.1657866920734,5.63643592e-05,True,0.90014500931,2.4178166e-06,21478,0.16,843,0,2
3,1000000.0,963.9844,0.8,32,0.6092280182526,0.0001086415132,False,0.8940049443954,8.92656423e-05,9606,0.1202011663535,1400,0,0
3,1000000.0,960.0781,0.8,32,0.6092280182526,0.0001086415132,False,0.8940049443954,8.92656423e-05,9606,0.1202011663535,1400,0,1
3,1000000.0,1065.5469,0.8,32,0.6092280182526,0.0001086415132,False,0.8940049443954,8.92656423e-05,9606,0.1202011663535,1400,0,2
