config_id,budget,performance,hp_config.buffer_alpha,hp_config.buffer_batch_size,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.buffer_prio_sampling,hp_config.initial_epsilon,hp_config.learning_rate,hp_config.learning_starts,hp_config.target_epsilon,hp_config.target_update_interval,optimisation_seed,seed
0,1000000.0,3882.8125,0.9534194352063,32,0.062250786419,0.0006144,False,1.0,5.42071414e-05,20971,0.0010143033053,1694,0,0
0,1000000.0,3109.375,0.9534194352063,32,0.062250786419,0.0006144,False,1.0,5.42071414e-05,20971,0.0010143033053,1694,0,1
0,1000000.0,2406.25,0.9534194352063,32,0.062250786419,0.0006144,False,1.0,5.42071414e-05,20971,0.0010143033053,1694,0,2
1,1000000.0,6531.25,0.0559772575724,16,0.0657128684051,3.265772e-07,True,0.5627191356154,5.44233142e-05,18214,0.1162352401752,573,0,0
1,1000000.0,5984.375,0.0559772575724,16,0.0657128684051,3.265772e-07,True,0.5627191356154,5.44233142e-05,18214,0.1162352401752,573,0,1
1,1000000.0,17789.062,0.0559772575724,16,0.0657128684051,3.265772e-07,True,0.5627191356154,5.44233142e-05,18214,0.1162352401752,573,0,2
2,1000000.0,757.8125,0.8209151946051,32,0.7036303091152,4.25716681e-05,True,0.5,0.0006168696463,8967,0.1513379094199,20,0,0
2,1000000.0,5828.125,0.8209151946051,32,0.7036303091152,4.25716681e-05,True,0.5,0.0006168696463,8967,0.1513379094199,20,0,1
2,1000000.0,1093.75,0.8209151946051,32,0.7036303091152,4.25716681e-05,True,0.5,0.0006168696463,8967,0.1513379094199,20,0,2
3,1000000.0,2039.0625,0.2353527867757,64,0.9564081164683,2.011494e-06,True,0.5,0.0975894294349,9808,0.1393887182164,644,0,0
3,1000000.0,2484.375,0.2353527867757,64,0.9564081164683,2.011494e-06,True,0.5,0.0975894294349,9808,0.1393887182164,644,0,1
3,1000000.0,1960.9375,0.2353527867757,64,0.9564081164683,2.011494e-06,True,0.5,0.0975894294349,9808,0.1393887182164,644,0,2
