algorithm,env,top_hp_1,top_hp_2
dqn,atari_qbert,learning_rate,learning_starts
dqn,atari_double_dunk,buffer_alpha,learning_rate
dqn,atari_phoenix,target_epsilon,learning_starts
dqn,atari_this_game,learning_rate,initial_epsilon
dqn,atari_battle_zone,target_epsilon,buffer_alpha
dqn,box2d_lunar_lander,learning_rate,initial_epsilon
dqn,cc_acrobot,learning_rate,initial_epsilon
dqn,cc_cartpole,learning_rate,buffer_epsilon
dqn,cc_mountain_car,learning_rate,target_update_interval
dqn,minigrid_door_key,target_epsilon,learning_rate
dqn,minigrid_empty_random,target_epsilon,learning_rate
dqn,minigrid_four_rooms,learning_starts,buffer_alpha
dqn,minigrid_unlock,buffer_alpha,buffer_beta
ppo,atari_qbert,learning_rate,ent_coef
ppo,atari_double_dunk,ent_coef,vf_clip_eps
ppo,atari_phoenix,vf_clip_eps,gae_lambda
ppo,atari_this_game,learning_rate,clip_eps
ppo,atari_battle_zone,learning_rate,max_grad_norm
ppo,box2d_lunar_lander,learning_rate,gae_lambda
ppo,cc_acrobot,learning_rate,max_grad_norm
ppo,cc_cartpole,learning_rate,gae_lambda
ppo,cc_mountain_car,clip_eps,gae_lambda
ppo,cc_pendulum,learning_rate,normalize_advantage
ppo,cc_continuous_mountain_car,ent_coef,learning_rate
ppo,minigrid_door_key,learning_rate,max_grad_norm
ppo,minigrid_empty_random,learning_rate,vf_coef
ppo,minigrid_four_rooms,learning_rate,ent_coef
ppo,minigrid_unlock,vf_clip_eps,ent_coef
ppo,brax_ant,learning_rate,clip_eps
ppo,brax_hopper,learning_rate,clip_eps
ppo,brax_humanoid,vf_coef,ent_coef
sac,box2d_bipedal_walker,learning_rate,buffer_beta
sac,cc_pendulum,use_target_network,learning_starts
sac,cc_continuous_mountain_car,alpha,alpha_auto
sac,brax_ant,reward_scale,learning_rate
sac,brax_halfcheetah,learning_rate,buffer_batch_size
sac,brax_hopper,learning_rate,reward_scale
sac,brax_humanoid,alpha,alpha_auto
