framework,id,runtime
ARLBench,9,16.929577827453613
ARLBench,8,17.07840085029602
ARLBench,6,17.52629566192627
ARLBench,3,17.41644549369812
ARLBench,5,17.36933183670044
ARLBench,0,16.90926504135132
ARLBench,7,18.578289031982422
ARLBench,2,16.77776026725769
ARLBench,4,17.142447471618652
ARLBench,1,17.471121311187744
SB3,9,106.00028491020203
SB3,8,102.76582312583923
SB3,6,106.01091861724854
SB3,3,107.22892689704895
SB3,5,103.50384473800659
SB3,0,105.5007848739624
SB3,7,107.02716493606567
SB3,2,104.54843187332153
SB3,4,109.12825798988342
SB3,1,104.97525477409363
