framework,id,runtime
ARLBench,9,100.4093005657196
ARLBench,8,99.95140433311462
ARLBench,6,90.58788728713989
ARLBench,3,93.54872274398804
ARLBench,5,97.1882381439209
ARLBench,0,92.8373453617096
ARLBench,7,95.98420691490173
ARLBench,2,93.69541311264038
ARLBench,4,97.3242404460907
ARLBench,1,91.14068531990051
SB3,9,203.6874556541443
SB3,8,189.04892587661743
SB3,6,187.7756335735321
SB3,3,200.96513962745667
SB3,5,195.80271315574646
SB3,0,201.75495386123657
SB3,7,196.36046814918518
SB3,2,193.61079216003418
SB3,4,190.18031406402588
SB3,1,186.89546418190002
