framework,id,runtime
ARLBench,9,5.803289175033569
ARLBench,8,6.218119382858276
ARLBench,6,5.643491744995117
ARLBench,3,5.955357551574707
ARLBench,5,5.9527268409729
ARLBench,0,6.110100030899048
ARLBench,7,6.112656831741333
ARLBench,2,6.012902498245239
ARLBench,4,5.895668029785156
ARLBench,1,6.052847385406494
SB3,9,21.386258363723755
SB3,8,21.974082946777344
SB3,6,21.4454402923584
SB3,3,21.65833806991577
SB3,5,22.07991361618042
SB3,0,21.475411653518677
SB3,7,22.467117309570312
SB3,2,21.452900886535645
SB3,4,22.341278791427612
SB3,1,22.429599285125732
