framework,id,runtime
ARLBench,9,179.5591526031494
ARLBench,0,188.77647614479065
ARLBench,7,189.07788491249084
ARLBench,6,189.19063234329224
ARLBench,1,180.64529943466187
ARLBench,8,188.11085605621338
ARLBench,4,187.63305115699768
ARLBench,3,202.84466814994812
ARLBench,2,182.99005341529846
ARLBench,5,188.5651364326477
SB3,9,752.413366317749
SB3,0,744.9998786449432
SB3,7,673.3996469974518
SB3,6,674.4270277023315
SB3,1,676.557101726532
SB3,8,696.2076258659363
SB3,4,726.038223028183
SB3,3,677.8972511291504
SB3,2,668.4726531505585
SB3,5,686.0819959640503
