framework,id,runtime
ARLBench,9,1004.8310067653656
ARLBench,8,896.3299236297607
ARLBench,6,933.4790148735046
ARLBench,3,930.7588620185852
ARLBench,5,934.260707616806
ARLBench,0,912.3880274295807
ARLBench,7,933.5811281204224
ARLBench,2,907.1671843528748
ARLBench,4,939.2592933177948
ARLBench,1,908.5631816387177
SB3,9,5182.8970856666565
SB3,8,5163.816815376282
SB3,6,5335.922682523727
SB3,3,5177.019637584686
SB3,5,5428.98788022995
SB3,0,5181.341977596283
SB3,7,5143.199338436127
SB3,2,5361.626052379608
SB3,4,5199.6515057086945
SB3,1,5277.257412910461
