framework,id,runtime
ARLBench,9,2524.613624572754
ARLBench,8,2554.4653022289276
ARLBench,6,2526.531021118164
ARLBench,3,2528.1116137504578
ARLBench,5,2577.6616356372833
ARLBench,0,2626.440254211426
ARLBench,7,2608.81019282341
ARLBench,2,2609.826592206955
ARLBench,4,2648.9066727161407
ARLBench,1,2821.560408592224
SB3,9,7454.743141651154
SB3,8,7400.060373067856
SB3,6,7382.516631126404
SB3,3,7049.06022644043
SB3,5,7549.391542434692
SB3,0,6867.192708492279
SB3,7,7446.091577291489
SB3,2,8371.496967792511
SB3,4,6943.2241315841675
SB3,1,7270.236175537109
