framework,id,runtime
ARLBench,9,190.7912459373474
ARLBench,8,192.86602425575256
ARLBench,6,196.75263738632202
ARLBench,3,197.1259949207306
ARLBench,5,188.4885699748993
ARLBench,0,194.60432124137878
ARLBench,7,196.4882881641388
ARLBench,2,200.29615950584412
ARLBench,4,192.7975640296936
ARLBench,1,190.6683418750763
SB3,9,1040.987603187561
SB3,8,1038.3605456352234
SB3,6,1048.9010593891144
SB3,3,1018.0618789196014
SB3,5,1037.0573153495789
SB3,0,1077.643298149109
SB3,7,994.8475639820099
SB3,2,1152.4008231163025
SB3,4,1033.3050119876862
SB3,1,1046.7869353294373
