framework,id,runtime
ARLBench,9,54.21239972114563
ARLBench,0,54.28070116043091
ARLBench,7,54.18266248703003
ARLBench,6,54.71149396896362
ARLBench,1,54.59211826324463
ARLBench,8,54.527167558670044
ARLBench,4,54.67835712432861
ARLBench,3,54.03906583786011
ARLBench,2,53.910377502441406
ARLBench,5,54.67510962486267
SB3,9,518.7934927940369
SB3,0,556.0073595046997
SB3,7,546.9189782142639
SB3,6,546.7389945983887
SB3,1,546.8459098339081
SB3,8,516.6320362091064
SB3,4,541.547865152359
SB3,3,553.2525389194489
SB3,2,544.5578446388245
SB3,5,575.8282129764557
