framework,id,runtime
ARLBench,9,135.33880496025085
ARLBench,8,130.8132860660553
ARLBench,6,127.59136319160461
ARLBench,3,117.6945743560791
ARLBench,5,118.42760705947876
ARLBench,0,119.25604939460754
ARLBench,7,130.3475959300995
ARLBench,2,128.04597973823547
ARLBench,4,129.12512135505676
ARLBench,1,122.03605461120605
SB3,9,245.47819304466248
SB3,8,254.88201093673706
SB3,6,245.6011927127838
SB3,3,244.89366817474365
SB3,5,249.89471650123596
SB3,0,250.29006671905518
SB3,7,244.66784596443176
SB3,2,259.07455348968506
SB3,4,248.5164966583252
SB3,1,242.12185525894165
