framework,id,runtime
ARLBench,9,122.13089942932129
ARLBench,8,121.40970706939697
ARLBench,6,122.64836835861206
ARLBench,3,121.8628761768341
ARLBench,5,121.20467853546143
ARLBench,0,123.48600649833679
ARLBench,7,122.41221499443054
ARLBench,2,122.70196795463562
ARLBench,4,121.91694712638855
ARLBench,1,122.99365162849426
SB3,9,124.51823329925537
SB3,8,123.9044885635376
SB3,6,124.04031467437744
SB3,3,124.54403519630432
SB3,5,123.27509665489197
SB3,0,124.04919052124023
SB3,7,124.75935673713684
SB3,2,125.24742603302002
SB3,4,121.82823467254639
SB3,1,123.63870620727539
