framework,id,runtime
ARLBench,9,5.482385873794556
ARLBench,8,5.566037893295288
ARLBench,6,5.325820207595825
ARLBench,3,5.163843870162964
ARLBench,5,5.635943412780762
ARLBench,0,5.28792929649353
ARLBench,7,5.522079944610596
ARLBench,2,5.509779214859009
ARLBench,4,5.445106267929077
ARLBench,1,5.227893829345703
SB3,9,25.20667862892151
SB3,8,25.292689561843872
SB3,6,25.4394633769989
SB3,3,25.809771299362183
SB3,5,25.470937967300415
SB3,0,25.631327390670776
SB3,7,26.159982919692993
SB3,2,24.87397313117981
SB3,4,25.60239601135254
SB3,1,25.919836282730103
