framework,id,runtime
ARLBench,9,156.82715010643005
ARLBench,8,160.15893626213074
ARLBench,6,172.53080081939697
ARLBench,3,158.12498807907104
ARLBench,5,154.50794172286987
ARLBench,0,161.33818101882935
ARLBench,7,166.51696467399597
ARLBench,2,165.54308485984802
ARLBench,4,172.0746648311615
ARLBench,1,160.07227849960327
SB3,9,296.1353688240051
SB3,8,307.0963578224182
SB3,6,304.9281949996948
SB3,3,305.32357907295227
SB3,5,322.95559310913086
SB3,0,313.1918201446533
SB3,7,322.5012376308441
SB3,2,304.57637119293213
SB3,4,318.97797656059265
SB3,1,316.8118169307709
