framework,id,runtime
ARLBench,9,496.6232416629791
ARLBench,8,501.8775691986084
ARLBench,6,496.01132249832153
ARLBench,3,488.0395357608795
ARLBench,5,490.85772681236267
ARLBench,0,494.41515469551086
ARLBench,7,487.0732386112213
ARLBench,2,488.7520716190338
ARLBench,4,484.8394944667816
ARLBench,1,488.55100417137146
SB3,9,418.49978470802307
SB3,8,425.5676374435425
SB3,6,423.4850220680237
SB3,3,425.5668845176697
SB3,5,424.5903069972992
SB3,0,429.2789161205292
SB3,7,420.47488832473755
SB3,2,416.7149043083191
SB3,4,420.02790546417236
SB3,1,419.4468765258789
