framework,id,runtime
ARLBench,9,21.23748230934143
ARLBench,8,21.033174991607666
ARLBench,6,21.002029418945312
ARLBench,3,21.449042558670044
ARLBench,5,22.147377729415894
ARLBench,0,21.397363901138306
ARLBench,7,21.44402003288269
ARLBench,2,22.724177837371826
ARLBench,4,20.8656644821167
ARLBench,1,21.620479106903076
SB3,9,40.29555583000183
SB3,8,40.293986797332764
SB3,6,40.87463450431824
SB3,3,41.01842451095581
SB3,5,40.90719151496887
SB3,0,39.91633367538452
SB3,7,41.07717323303223
SB3,2,40.54786396026611
SB3,4,40.296539545059204
SB3,1,41.552979707717896
