run_id,budget,performance,seed,hp_config.alpha,hp_config.alpha_auto,hp_config.buffer_alpha,hp_config.buffer_batch_size,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.gamma,hp_config.gradient_steps,hp_config.learning_rate,hp_config.learning_starts,hp_config.normalize_observations,hp_config.target_update_interval,hp_config.train_freq,hp_config.use_target_network,hp_config.tau,hp_config.reward_scale
135,50000,-81.81186,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,100000,-99.57789,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,150000,-83.90788,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,200000,-42.07719,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,250000,-49.808132,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,300000,54.907715,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,350000,29.25153,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,400000,97.35488,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,450000,182.21252,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
135,500000,236.04718,9,1.0,True,0.9,512,0.9,0.001,False,401237,0.99,1,7.448518819541343e-05,2898,False,1,1,False,1.0,0.5708679144201309
61,50000,-115.40341,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,100000,-95.50392,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,150000,-29.164185,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,200000,-98.22653,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,250000,-109.31604,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,300000,-39.92354,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,350000,-126.12132,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,400000,-116.89044,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,450000,-100.00097,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
61,500000,-99.36743,9,1.0,True,0.9,256,0.9,0.001,False,35973,0.99,1,0.012942962467113347,5353,False,1,1,False,1.0,2.8358609267931034
95,50000,-99.61183,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,100000,-132.57489,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,150000,-97.57403,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,200000,196.02795,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,250000,225.00089,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,300000,270.32422,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,350000,302.03528,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,400000,295.95483,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,450000,300.57596,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
95,500000,306.33093,9,1.0,True,0.9,256,0.9,0.001,False,426774,0.99,1,0.00023802573290132494,7940,False,1,1,True,0.24044494545930098,0.3398326444944573
132,50000,-91.42381,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,100000,-67.16872,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,150000,-108.33273,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,200000,-87.99928,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,250000,-35.048843,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,300000,-97.89077,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,350000,-44.84857,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,400000,-119.40564,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,450000,-96.39234,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
132,500000,262.05646,9,1.0,True,0.9,512,0.9,0.001,False,136521,0.99,1,0.0010907539614543613,4314,False,1,1,False,1.0,1.190944596518051
59,50000,-45.29934,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,100000,-110.02932,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,150000,-46.443283,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,200000,-78.37071,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,250000,-114.96577,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,300000,-47.27601,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
59,350000,-109.559296,9,1.0,True,0.47591469487889215,128,0.12467566128787642,1.9288293535634178e-07,True,290970,0.99,1,1.613560300872147e-05,1384,False,1,1,True,0.9801627030788862,5.237953912333401
