Configuration,atari_battle_zone,atari_double_dunk,atari_phoenix,atari_qbert,atari_this_game,box2d_lunar_lander,cc_acrobot,cc_cartpole,cc_mountain_car,minigrid_door_key,minigrid_empty_random,minigrid_four_rooms,minigrid_unlock,Prediction
0,0.03137813614595179,0.05465903175429464,0.07793166457855283,0.1480655303220854,0.25333200880201817,0.4874191495267048,0.3728168111662457,0.3728168111662457,0.0542256816761504,0.0,0.0,0.02010610921619797,0.0,0.16135324358613215
1,0.48467579286327234,0.4657730348776677,0.15536341950064997,0.029605616427138253,0.1517286960646717,0.47343526053006746,0.09072126794927551,0.09072126794927551,0.0,0.0,0.0,0.01014779543686641,0.0,0.13937601300857733
2,0.05660574062209908,0.020822488287350338,0.0012894858192025608,0.0068705701479683705,0.1298460759941281,0.6797424487412597,0.9010763083020763,0.9010763083020763,0.30648762489532344,0.0,0.0,0.020390332376212808,0.0,0.2833240015385347
3,0.7196816984522771,0.7384174908901614,0.501883768494974,0.43621254918521335,0.5650009657857055,0.6837522708728083,0.4630418914963369,0.4630418914963369,0.043610026241731874,0.0,0.0,0.0824139941341653,0.0,0.3693652872719128
4,0.05153242071367276,0.027980218636127017,0.001025982195278559,0.000639122804462174,0.10007299227347677,0.23186955936917691,0.11972259581954965,0.11972259581954965,0.0,0.0,0.0,0.06164470059876298,0.0,0.06284979133465196
5,0.25359649788832356,0.551795939614784,0.17130632196202114,0.07126593725413147,0.4100495148536656,0.4551001175165097,0.06844846807061838,0.06844846807061838,0.0,0.8860836487657954,0.9627133575013141,0.23586255726959307,0.0,0.3104879514441424
6,0.7369865886151623,1.0,0.9994963586837127,0.4242339855941592,0.6310787884222309,0.6359047531819898,0.3074348965606087,0.3074348965606087,0.0,0.08790246628697697,0.5000419536895849,0.1727967434308636,0.0,0.42760125317728803
7,0.02102300373012274,0.03852160333159801,3.550758052876616e-05,0.006231447343506197,0.06849547923642234,0.6345888144855512,0.802700852481468,0.802700852481468,0.22588048530465932,0.0,0.0,0.03072760812318895,0.0,0.23730077579567915
8,0.059003405510327955,0.04268610098906814,0.0021996011727556724,0.0033553947234264137,0.04385609140286179,0.869555397455835,0.7882953540527703,0.7882953540527703,0.06544569092902214,0.0,0.0,0.04144384988008503,0.0,0.2345220992246642
9,0.055876016525681596,0.03839146277980219,0.0034143341908450414,0.009751615914958014,0.12794140060459147,0.6040551695582004,0.4877207592909976,0.4877207592909976,0.9574672967181725,0.0,0.0,0.02067455418880252,0.0,0.1699862246917985
10,0.17058169250528976,0.06676210307131697,0.2908033444984496,0.9325787819678124,0.31650817777541174,0.690682308440362,0.4277236233861672,0.4277236233861672,0.11568611961864603,0.0,0.0,0.14358498708578585,1.0,0.21345722839436299
