n_subset,algorithm,score,correlation,strategy
1,dqn,0.0,1.0,Optimum
1,dqn,0.36371712753272956,0.6362828724672704,Ranks + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.3101597130779591,0.6898402869220409,Ranks + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.31709117627075367,0.6829088237292463,Ranks + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.1762051282051283,0.8237948717948719,Ranks + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.1760170940170941,0.8239829059829059,Ranks + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.30883760683760686,0.691162393162393,Ranks + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,0.2736923076923078,0.7263076923076923,Ranks + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,0.39175497781040086,0.6082450221895991,Ranks + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,1.3095897435897434,-0.30958974358974356,Ranks + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.3017265335948602,0.6982734664051398,Ranks + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.30212612780582776,0.6978738721941722,Ranks + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.17803477716754917,0.8219652228324508,Ranks + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.1533333333333334,0.8466666666666667,Ranks + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.14654700854700858,0.8534529914529914,Ranks + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.09646153846153852,0.9035384615384615,Ranks + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.24287179487179483,0.7571282051282051,Ranks + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.36340170940170946,0.6365982905982905,Ranks + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.07615384615384621,0.9238461538461538,Ranks + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.2983213156453487,0.7016786843546513,Ranks + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.17290650707762356,0.8270934929223765,Ranks + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.23036310726457207,0.769636892735428,Ranks + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.13336752136752142,0.8666324786324786,Ranks + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.08683760683760693,0.9131623931623931,Ranks + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.121948717948718,0.878051282051282,Ranks + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.30887179487179484,0.6911282051282052,Ranks + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.08158974358974361,0.9184102564102565,Ranks + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.15639316239316242,0.8436068376068375,Ranks + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.17290650707762356,0.8270934929223765,Ranks + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.2385457501970817,0.7614542498029183,Ranks + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.25010911705684286,0.7498908829431572,Ranks + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.08668376068376078,0.9133162393162392,Ranks + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.09564102564102568,0.9043589743589744,Ranks + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.12182905982905982,0.8781709401709403,Ranks + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.09005128205128207,0.9099487179487179,Ranks + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.1874358974358975,0.8125641025641025,Ranks + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.11646153846153853,0.8835384615384616,Ranks + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.17943801575486062,0.8205619842451395,Ranks + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.16970337414185582,0.8302966258581442,Ranks + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.12895375123512426,0.8710462487648758,Ranks + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.07781196581196584,0.9221880341880342,Ranks + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.09105982905982905,0.908940170940171,Ranks + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.05362393162393166,0.9463760683760682,Ranks + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.09290598290598293,0.907094017094017,Ranks + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.07131623931623934,0.9286837606837606,Ranks + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.08208547008547011,0.9179145299145299,Ranks + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.15650184611038467,0.8434981538896154,Ranks + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.1041731714694939,0.895826828530506,Ranks + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.10801304211805103,0.8919869578819488,Ranks + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.06617094017094023,0.9338290598290598,Ranks + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.03569230769230776,0.9643076923076922,Ranks + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.06529914529914538,0.9347008547008546,Ranks + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.05793162393162399,0.9420683760683761,Ranks + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.06876923076923083,0.9312307692307693,Ranks + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.07444444444444454,0.9255555555555555,Ranks + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.45367926029675926,0.5463207397032408,Min-Max + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.432828006763703,0.5671719932362971,Min-Max + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.4175384615384615,0.5824615384615385,Min-Max + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.21581196581196585,0.7841880341880341,Min-Max + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.165948717948718,0.8340512820512821,Min-Max + Spearman
1,sac,0.0,1.0,Optimum
1,sac,0.23581196581196587,0.7641880341880343,Min-Max + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,0.34331623931623934,0.6566837606837608,Min-Max + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,0.3907078840943499,0.6092921159056501,Min-Max + Spearman
1,ppo,0.0,1.0,Optimum
1,ppo,1.3259829059829058,-0.32598290598290597,Min-Max + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.4297094017094018,0.5702905982905981,Min-Max + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.41497435897435897,0.585025641025641,Min-Max + Spearman
2,dqn,0.0,1.0,Optimum
2,dqn,0.33984615384615385,0.6601538461538461,Min-Max + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.1538461538461539,0.8461538461538461,Min-Max + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.1588717948717949,0.8411282051282051,Min-Max + Spearman
2,sac,0.0,1.0,Optimum
2,sac,0.07372649572649574,0.9262735042735042,Min-Max + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.3084102564102565,0.6915897435897435,Min-Max + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.655897435897436,0.3441025641025641,Min-Max + Spearman
2,ppo,0.0,1.0,Optimum
2,ppo,0.22675213675213673,0.7732478632478632,Min-Max + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.42200000000000004,0.578,Min-Max + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.3365641025641025,0.6634358974358975,Min-Max + Spearman
3,dqn,0.0,1.0,Optimum
3,dqn,0.2918632478632479,0.7081367521367522,Min-Max + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.1338119658119658,0.8661880341880341,Min-Max + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.0811111111111112,0.9188888888888889,Min-Max + Spearman
3,sac,0.0,1.0,Optimum
3,sac,0.12769230769230774,0.8723076923076922,Min-Max + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.5376410256410256,0.46235897435897433,Min-Max + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.20276923076923076,0.7972307692307693,Min-Max + Spearman
3,ppo,0.0,1.0,Optimum
3,ppo,0.17818803418803425,0.8218119658119658,Min-Max + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.3365641025641025,0.6634358974358975,Min-Max + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.2918632478632479,0.7081367521367522,Min-Max + Spearman
4,dqn,0.0,1.0,Optimum
4,dqn,0.4423589743589744,0.5576410256410256,Min-Max + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.07735042735042737,0.9226495726495727,Min-Max + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.09273504273504281,0.9072649572649573,Min-Max + Spearman
4,sac,0.0,1.0,Optimum
4,sac,0.122974358974359,0.877025641025641,Min-Max + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.3795384615384615,0.6204615384615384,Min-Max + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.2705641025641027,0.7294358974358974,Min-Max + Spearman
4,ppo,0.0,1.0,Optimum
4,ppo,0.2676068376068377,0.7323931623931623,Min-Max + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.2321709401709402,0.7678290598290598,Min-Max + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.2752478632478633,0.7247521367521367,Min-Max + Spearman
5,dqn,0.0,1.0,Optimum
5,dqn,0.1505470085470086,0.8494529914529915,Min-Max + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.06270085470085474,0.9372991452991453,Min-Max + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.07341880341880344,0.9265811965811965,Min-Max + Spearman
5,sac,0.0,1.0,Optimum
5,sac,0.05406837606837607,0.9459316239316239,Min-Max + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.267042735042735,0.7329572649572649,Min-Max + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.20952136752136757,0.7904786324786325,Min-Max + Spearman
5,ppo,0.0,1.0,Optimum
5,ppo,0.20784615384615385,0.7921538461538462,Min-Max + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.24584615384615383,0.7541538461538461,Min-Max + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.12222222222222226,0.8777777777777777,Min-Max + Spearman
6,dqn,0.0,1.0,Optimum
6,dqn,0.2068547008547009,0.7931452991452991,Min-Max + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.05162393162393164,0.9483760683760682,Min-Max + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.04256410256410261,0.9574358974358974,Min-Max + Spearman
6,sac,0.0,1.0,Optimum
6,sac,0.03355555555555558,0.9664444444444446,Min-Max + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.13499145299145304,0.8650085470085468,Min-Max + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.1506324786324787,0.8493675213675214,Min-Max + Spearman
6,ppo,0.0,1.0,Optimum
6,ppo,0.14818803418803422,0.8518119658119658,Min-Max + Spearman
1,dqn,0.0,1.0,Optimum
1,dqn,0.04275926541390356,0.6362828724672704,Ranks + MSE
1,dqn,0.0,1.0,Optimum
