Configuration,Score,Seed,Environment
0,-1278.5201725236575,0,cc_pendulum
0,-1140.26658058717,1,cc_pendulum
0,-1237.4395952133386,2,cc_pendulum
0,-1235.9744884765405,3,cc_pendulum
0,-1275.8797037197248,4,cc_pendulum
0,-1210.7221427986549,5,cc_pendulum
0,-1189.4003230241224,6,cc_pendulum
0,-1243.1379871334918,7,cc_pendulum
0,-1208.016547326518,8,cc_pendulum
0,-1275.5988314340614,9,cc_pendulum
1,-303.90181780440486,0,cc_pendulum
1,,1,cc_pendulum
1,,2,cc_pendulum
1,-188.22249054799823,3,cc_pendulum
1,,4,cc_pendulum
1,-606.1139945782369,5,cc_pendulum
1,,6,cc_pendulum
1,-209.29283026452796,7,cc_pendulum
1,,8,cc_pendulum
1,-838.6456357788938,9,cc_pendulum
2,-437.2166931864639,0,cc_pendulum
2,-174.64115959537097,1,cc_pendulum
2,-144.21919288680272,2,cc_pendulum
2,-144.96911914668055,3,cc_pendulum
2,-162.78330712931694,4,cc_pendulum
2,-348.5018945412531,5,cc_pendulum
2,-146.21489811940117,6,cc_pendulum
2,-151.61917596039905,7,cc_pendulum
2,-163.74047396304786,8,cc_pendulum
2,-157.01102525705997,9,cc_pendulum
3,-152.80561018538816,0,cc_pendulum
3,-182.44615921568712,1,cc_pendulum
3,-180.048843601292,2,cc_pendulum
3,-191.38261791618757,3,cc_pendulum
3,-200.60635018287277,4,cc_pendulum
3,-175.81557903771238,5,cc_pendulum
3,-185.43167621913807,6,cc_pendulum
3,-173.2057212901336,7,cc_pendulum
3,-182.65017337119176,8,cc_pendulum
3,-179.77243840495498,9,cc_pendulum
4,-1216.6542031482468,0,cc_pendulum
4,-1241.1222974444106,1,cc_pendulum
4,-1287.1130187090234,2,cc_pendulum
4,-1285.2467012294803,3,cc_pendulum
4,-1190.5770707194663,4,cc_pendulum
4,-1241.0617478600773,5,cc_pendulum
4,-1239.7151537209006,6,cc_pendulum
4,-1239.7720284537174,7,cc_pendulum
4,-1163.9732449831772,8,cc_pendulum
4,-1309.524870171625,9,cc_pendulum
5,-1185.3329342892032,0,cc_pendulum
5,-1180.3645903118245,1,cc_pendulum
5,-1244.4302331076642,2,cc_pendulum
5,-1258.3908818466766,3,cc_pendulum
5,-1155.0562753345062,4,cc_pendulum
5,-1162.1540597598269,5,cc_pendulum
5,-1266.3386346228206,6,cc_pendulum
5,-1337.9268419829884,7,cc_pendulum
5,-1205.5930812566414,8,cc_pendulum
5,-1273.5525292625812,9,cc_pendulum
6,-1150.2435975784188,0,cc_pendulum
6,-1160.4258790398092,1,cc_pendulum
6,-1216.7724866888711,2,cc_pendulum
6,-1284.6278998004286,3,cc_pendulum
6,-1300.9020475557722,4,cc_pendulum
6,-1220.2387581017238,5,cc_pendulum
6,-1256.3302500066334,6,cc_pendulum
6,-1220.5906694602058,7,cc_pendulum
6,-1193.6238040680614,8,cc_pendulum
6,-1342.327036027796,9,cc_pendulum
7,-1456.838257397072,0,cc_pendulum
7,-1381.077261376542,1,cc_pendulum
7,-1374.0908896141982,2,cc_pendulum
7,-1197.1597261219358,3,cc_pendulum
7,-1524.189747572476,4,cc_pendulum
7,-1431.3850343588688,5,cc_pendulum
7,-1399.8709294641676,6,cc_pendulum
7,-1418.946189107643,7,cc_pendulum
7,-1435.0432473175322,8,cc_pendulum
7,-1402.5560229332918,9,cc_pendulum
8,-1391.1394929456324,0,cc_pendulum
8,-1204.1382592377047,1,cc_pendulum
8,-1045.0823535489742,2,cc_pendulum
8,-1347.6285684885247,3,cc_pendulum
8,-1406.026924097202,4,cc_pendulum
8,-1095.0192793257806,5,cc_pendulum
8,-1261.601047992427,6,cc_pendulum
8,-1178.9834623745664,7,cc_pendulum
8,-1249.870335906926,8,cc_pendulum
8,-1180.231580442824,9,cc_pendulum
9,-1598.1844564775645,0,cc_pendulum
9,-1622.8952130723408,1,cc_pendulum
9,-1504.4040417138422,2,cc_pendulum
9,-1313.5501770604783,3,cc_pendulum
9,-1299.7083273011804,4,cc_pendulum
9,-1120.6436666455957,5,cc_pendulum
9,-1473.4530419733587,6,cc_pendulum
9,-1296.3723042173976,7,cc_pendulum
9,-1556.6671907664313,8,cc_pendulum
9,-1479.3710543018688,9,cc_pendulum
10,,0,cc_pendulum
10,,1,cc_pendulum
10,,2,cc_pendulum
10,,3,cc_pendulum
10,,4,cc_pendulum
10,,5,cc_pendulum
10,,6,cc_pendulum
10,,7,cc_pendulum
10,,8,cc_pendulum
10,,9,cc_pendulum
11,-1227.8815379401285,0,cc_pendulum
11,-1258.5000235554862,1,cc_pendulum
11,-1190.6871894733167,2,cc_pendulum
11,-1226.4986332921897,3,cc_pendulum
11,-1238.6995105474934,4,cc_pendulum
11,-1175.3478691889995,5,cc_pendulum
11,-1249.810394920113,6,cc_pendulum
11,-1203.6365951512018,7,cc_pendulum
11,-1233.9306458569886,8,cc_pendulum
11,-1229.2881925123338,9,cc_pendulum
12,-505.0938018599602,0,cc_pendulum
12,-214.52040088428168,1,cc_pendulum
12,-197.2579331876685,2,cc_pendulum
12,-265.0721963987576,3,cc_pendulum
12,-283.8019594153661,4,cc_pendulum
12,-195.902778872342,5,cc_pendulum
12,-176.04452532142253,6,cc_pendulum
12,-465.5789665058136,7,cc_pendulum
12,-200.6794272890936,8,cc_pendulum
12,-260.9367308648999,9,cc_pendulum
13,-1270.88988232192,0,cc_pendulum
13,-1314.0206616163225,1,cc_pendulum
13,-1283.9883294641213,2,cc_pendulum
13,-1268.042308520464,3,cc_pendulum
13,-1165.6366341857338,4,cc_pendulum
13,-1243.2085377067651,5,cc_pendulum
13,-1207.298478095282,6,cc_pendulum
13,-1184.4374235004282,7,cc_pendulum
13,-1252.9977022065304,8,cc_pendulum
13,-1247.4257189951134,9,cc_pendulum
14,-982.7048812406848,0,cc_pendulum
14,-1012.1166379628878,1,cc_pendulum
14,-1113.9215256063708,2,cc_pendulum
14,-1133.6148708196745,3,cc_pendulum
14,-1038.844837743809,4,cc_pendulum
14,-1271.0296665637711,5,cc_pendulum
14,-1301.902521763414,6,cc_pendulum
14,-1169.6884090638805,7,cc_pendulum
14,-1068.3293346727785,8,cc_pendulum
14,-1049.8900751249696,9,cc_pendulum
15,-177.24449925486044,0,cc_pendulum
15,-184.73575915763587,1,cc_pendulum
15,-168.29610711362488,2,cc_pendulum
15,-169.01111214767928,3,cc_pendulum
15,-169.239129884747,4,cc_pendulum
15,-161.90408791628374,5,cc_pendulum
15,-172.26448527534416,6,cc_pendulum
15,-623.6271409268372,7,cc_pendulum
15,-177.87692950451532,8,cc_pendulum
15,-173.94002015157076,9,cc_pendulum
16,-1320.4319500072495,0,cc_pendulum
16,-1466.122726065597,1,cc_pendulum
16,-1430.438505629029,2,cc_pendulum
16,-1476.9157380805334,3,cc_pendulum
16,-1384.5751393335836,4,cc_pendulum
16,-1371.6733425468242,5,cc_pendulum
16,-1256.5750339565025,6,cc_pendulum
16,-1355.577161891753,7,cc_pendulum
16,-1343.1560593295867,8,cc_pendulum
16,-1375.636810810505,9,cc_pendulum
